Name,Party_name,popular_names,file,twitter_query,twitter_max_id,twitter_since_id
Jair Bolsonaro,PSL,Bolsonaro|Jair Bolsonaro,jair_bolsonaro.csv,bolsonaro or jair bolsonaro,0,1064546520819802114
Marina Silva,Rede,Marina Silva|Marina,marina_silva.csv,marina or marina silva,0,1064997383589650433
Ciro Gomes,PDT,Ciro Gomes|Ciro,ciro_gomes.csv,ciro or ciro gomes,0,1063260618025783297
Geraldo Alckmin,PSDB,Geraldo Alckmin|Alckmin,geraldo_alckmin.csv,geraldo alckmin or alckmin,0,1064997385611431937
Henrique Meirelles,MDB,Henrique Meirelles|Meirelles,henrique_meirelles.csv,henrique meirelles,0,1064983616436895744
Guilherme Boulos,PSOL,Guilherme Boulos|Boulos,guilherme_boulos.csv,boulos,0,1064997267814473728
Fernando Haddad,PT,Fernando Haddad|Haddad,fernando_haddad.csv,fernando haddad or haddad,0,1064997389994475521
João Amoedo,NOVO,João Amoedo|Amoedo,joao_amoedo.csv,joão amoedo or amoedo,0,1064997389994475521
PSL,Bolsonaro|Jair Bolsonaro,jair_bolsonaro.csv,bolsonaro or jair bolsonaro,0,1064546520819802114
Rede,Marina Silva|Marina,marina_silva.csv,marina or marina silva,0,1065010240259674112
PDT,Ciro Gomes|Ciro,ciro_gomes.csv,ciro or ciro gomes,0,1063260618025783297
PSDB,Geraldo Alckmin|Alckmin,geraldo_alckmin.csv,geraldo alckmin or alckmin,0,1065010242868543488
MDB,Henrique Meirelles|Meirelles,henrique_meirelles.csv,henrique meirelles,0,1065000555658059776
PSOL,Guilherme Boulos|Boulos,guilherme_boulos.csv,boulos,0,1065010160379355137
PT,Fernando Haddad|Haddad,fernando_haddad.csv,fernando haddad or haddad,0,1065010246173802496
NOVO,João Amoedo|Amoedo,joao_amoedo.csv,joão amoedo or amoedo,0,1065010247205556225
PSL,Bolsonaro|Jair Bolsonaro,jair_bolsonaro.csv,bolsonaro or jair bolsonaro,0,0
Rede,Marina Silva|Marina,marina_silva.csv,marina or marina silva,0,0
PDT,Ciro Gomes|Ciro,ciro_gomes.csv,ciro or ciro gomes,0,0
PSDB,Geraldo Alckmin|Alckmin,geraldo_alckmin.csv,geraldo alckmin or alckmin,0,0
MDB,Henrique Meirelles|Meirelles,henrique_meirelles.csv,henrique meirelles,0,0
PSOL,Guilherme Boulos|Boulos,guilherme_boulos.csv,boulos,0,0
PT,Fernando Haddad|Haddad,fernando_haddad.csv,fernando haddad or haddad,0,0
NOVO,João Amoedo|Amoedo,joao_amoedo.csv,joão amoedo or amoedo,0,0
